competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3HmCSH,1,1,SaffronDolphin,56.1,66.4,0,True,0.005,
3HmCSH,1,2,SaffronDolphin,66.4,66.4,0,True,0.006,
3HmCSH,1,3,SaffronDolphin,66.4,66.4,0,True,0.007,
3HmCSH,1,4,SaffronDolphin,66.4,66.4,0,True,0.006,
3HmCSH,1,5,SaffronDolphin,66.4,66.4,0,True,0.006,
3HmCSH,1,6,SaffronDolphin,66.4,33.2,0,True,0.006,
3HmCSH,1,7,SaffronDolphin,33.2,33.2,0,True,0.01,
3HmCSH,1,8,SaffronDolphin,33.2,33.2,0,True,0.006,
3HmCSH,1,9,SaffronDolphin,33.2,33.2,0,True,0.005,
3HmCSH,1,10,SaffronDolphin,33.2,33.2,0,True,0.005,
3HmCSH,1,11,SaffronDolphin,33.2,16.6,1,True,0.004,
3HmCSH,1,12,SaffronDolphin,16.6,16.6,1,True,0.004,
3HmCSH,1,13,SaffronDolphin,16.6,16.6,0,True,0.004,
3HmCSH,1,14,SaffronDolphin,16.6,16.6,0,True,0.005,
3HmCSH,1,15,SaffronDolphin,16.6,16.6,1,True,0.006,
3HmCSH,1,16,SaffronDolphin,16.6,11.9,2,True,0.006,
3HmCSH,1,17,SaffronDolphin,11.9,11.9,0,True,0.006,
3HmCSH,1,18,SaffronDolphin,11.9,11.9,2,True,0.006,
3HmCSH,1,19,SaffronDolphin,11.9,11.9,1,True,0.006,
3HmCSH,1,20,SaffronDolphin,11.9,11.9,1,True,0.006,
3HmCSH,1,21,SaffronDolphin,11.9,10.7,2,True,0.005,
3HmCSH,1,22,SaffronDolphin,10.7,10.7,0,True,0.007,
3HmCSH,1,23,SaffronDolphin,10.7,10.7,0,True,0.005,
3HmCSH,1,24,SaffronDolphin,10.7,10.7,0,True,0.005,
3HmCSH,1,25,SaffronDolphin,10.7,10.7,0,True,0.004,
3HmCSH,1,26,SaffronDolphin,10.7,9.0,0,True,0.006,
3HmCSH,1,27,SaffronDolphin,9.0,9.0,0,True,0.005,
3HmCSH,1,28,SaffronDolphin,9.0,9.0,0,True,0.006,
3HmCSH,1,29,SaffronDolphin,9.0,9.0,1,True,0.006,
3HmCSH,1,30,SaffronDolphin,9.0,9.0,0,True,0.006,
3HmCSH,1,31,SaffronDolphin,9.0,6.8,0,True,0.006,
3HmCSH,1,32,SaffronDolphin,6.8,6.8,1,True,0.006,
3HmCSH,1,33,SaffronDolphin,6.8,6.8,1,True,0.005,
3HmCSH,1,34,SaffronDolphin,6.8,6.8,0,True,0.006,
3HmCSH,1,35,SaffronDolphin,6.8,6.8,2,True,0.006,
3HmCSH,1,36,SaffronDolphin,6.8,5.4,0,True,0.006,
3HmCSH,1,37,SaffronDolphin,5.4,5.4,1,True,0.005,
3HmCSH,1,38,SaffronDolphin,5.4,5.4,1,True,0.008,
3HmCSH,1,39,SaffronDolphin,5.4,5.4,0,True,0.004,
3HmCSH,1,40,SaffronDolphin,5.4,5.4,1,True,0.004,
3HmCSH,1,41,SaffronDolphin,5.4,4.3,3,True,0.004,
3HmCSH,1,42,SaffronDolphin,4.3,4.3,0,True,0.008,
3HmCSH,1,43,SaffronDolphin,4.3,4.3,1,True,0.006,
3HmCSH,1,44,SaffronDolphin,4.3,4.3,1,True,0.007,
3HmCSH,1,45,SaffronDolphin,4.3,4.3,0,True,0.007,
3HmCSH,1,46,SaffronDolphin,4.3,3.6,3,True,0.006,
3HmCSH,1,47,SaffronDolphin,3.6,3.6,0,True,0.006,
3HmCSH,1,48,SaffronDolphin,3.6,3.6,1,True,0.006,
3HmCSH,1,49,SaffronDolphin,3.6,3.6,0,True,0.006,
3HmCSH,1,50,SaffronDolphin,3.6,3.6,0,True,0.006,
3HmCSH,1,51,SaffronDolphin,3.6,3.0,1,True,0.005,
3HmCSH,1,52,SaffronDolphin,3.0,3.0,1,True,0.004,
3HmCSH,1,53,SaffronDolphin,3.0,3.0,0,True,0.005,
3HmCSH,1,54,SaffronDolphin,3.0,3.0,2,True,0.005,
3HmCSH,1,55,SaffronDolphin,3.0,3.0,0,True,0.005,
3HmCSH,1,56,SaffronDolphin,3.0,2.5,0,True,0.005,
3HmCSH,1,57,SaffronDolphin,2.5,2.5,2,True,0.006,
3HmCSH,1,58,SaffronDolphin,2.5,2.5,1,True,0.007,
3HmCSH,1,59,SaffronDolphin,2.5,2.5,2,True,0.006,
3HmCSH,1,60,SaffronDolphin,2.5,2.5,2,True,0.006,
3HmCSH,1,61,SaffronDolphin,2.5,2.4,0,True,0.006,
3HmCSH,1,62,SaffronDolphin,2.4,2.4,3,True,0.006,
3HmCSH,1,63,SaffronDolphin,2.4,2.4,0,True,0.006,
3HmCSH,1,64,SaffronDolphin,2.4,2.4,3,True,0.006,
3HmCSH,1,65,SaffronDolphin,2.4,2.4,1,True,0.006,
3HmCSH,1,66,SaffronDolphin,2.4,2.3,0,True,0.004,
3HmCSH,1,67,SaffronDolphin,2.3,2.3,3,True,0.004,
3HmCSH,1,68,SaffronDolphin,2.3,2.3,0,True,0.004,
3HmCSH,1,69,SaffronDolphin,2.3,2.3,3,True,0.005,
3HmCSH,1,70,SaffronDolphin,2.3,2.3,2,True,0.005,
3HmCSH,1,71,SaffronDolphin,2.3,2.4,0,True,0.006,
3HmCSH,1,72,SaffronDolphin,2.4,2.4,1,True,0.006,
3HmCSH,1,73,SaffronDolphin,2.4,2.4,2,True,0.006,
3HmCSH,1,74,SaffronDolphin,2.4,2.4,0,True,0.006,
3HmCSH,1,75,SaffronDolphin,2.4,2.4,2,True,0.006,
3HmCSH,1,76,SaffronDolphin,2.4,2.5,2,True,0.006,
3HmCSH,1,77,SaffronDolphin,2.5,2.5,1,True,0.006,
3HmCSH,1,78,SaffronDolphin,2.5,2.5,1,True,0.006,
3HmCSH,1,79,SaffronDolphin,2.5,2.5,1,True,0.006,
3HmCSH,1,80,SaffronDolphin,2.5,2.5,4,True,0.004,
3HmCSH,1,81,SaffronDolphin,2.5,2.7,1,True,0.004,
3HmCSH,1,82,SaffronDolphin,2.7,2.7,1,True,0.005,
3HmCSH,1,83,SaffronDolphin,2.7,2.7,2,True,0.005,
3HmCSH,1,84,SaffronDolphin,2.7,2.7,1,True,0.005,
3HmCSH,1,85,SaffronDolphin,2.7,2.7,4,True,0.006,
3HmCSH,1,86,SaffronDolphin,2.7,3.1,2,True,0.006,
3HmCSH,1,87,SaffronDolphin,3.1,3.1,1,True,0.006,
3HmCSH,1,88,SaffronDolphin,3.1,3.1,0,True,0.006,
3HmCSH,1,89,SaffronDolphin,3.1,3.1,0,True,0.006,
3HmCSH,1,90,SaffronDolphin,3.1,3.1,0,True,0.006,
3HmCSH,1,91,SaffronDolphin,3.1,3.5,0,True,0.006,
3HmCSH,1,92,SaffronDolphin,3.5,3.5,0,True,0.006,
3HmCSH,1,93,SaffronDolphin,3.5,3.5,0,True,0.007,
3HmCSH,1,94,SaffronDolphin,3.5,3.5,0,True,0.004,
3HmCSH,1,95,SaffronDolphin,3.5,3.5,0,True,0.006,
3HmCSH,1,96,SaffronDolphin,3.5,3.7,0,True,0.004,
3HmCSH,1,97,SaffronDolphin,3.7,3.7,0,True,0.004,
3HmCSH,1,98,SaffronDolphin,3.7,3.7,0,False,0.005,
3HmCSH,1,99,SaffronDolphin,3.7,3.7,0,False,0.006,
