competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3RrKnQ,1,1,IndigoJackal,33.0,72.0,0,True,0.0,
3RrKnQ,1,2,IndigoJackal,47.0,57.6,0,True,0.0,
3RrKnQ,1,3,IndigoJackal,87.0,46.1,0,True,0.0,
3RrKnQ,1,4,IndigoJackal,100.0,36.9,0,True,0.0,
3RrKnQ,1,5,IndigoJackal,70.0,29.5,0,True,0.0,
3RrKnQ,1,6,IndigoJackal,38.0,23.6,1,True,0.0,
3RrKnQ,1,7,IndigoJackal,27.0,18.9,1,True,0.0,
3RrKnQ,1,8,IndigoJackal,52.0,16.4,0,True,0.0,
3RrKnQ,1,9,IndigoJackal,92.0,13.9,4,True,0.0,
3RrKnQ,1,10,IndigoJackal,57.0,15.3,1,True,0.0,
3RrKnQ,1,11,IndigoJackal,18.0,17.2,1,True,0.0,
3RrKnQ,1,12,IndigoJackal,99.0,19.7,3,True,0.0,
3RrKnQ,1,13,IndigoJackal,51.0,23.7,3,True,0.0,
3RrKnQ,1,14,IndigoJackal,32.0,28.4,0,True,0.0,
3RrKnQ,1,15,IndigoJackal,84.0,34.1,0,True,0.0,
3RrKnQ,1,16,IndigoJackal,94.0,41.0,0,True,0.0,
3RrKnQ,1,17,IndigoJackal,36.0,48.2,0,True,0.0,
3RrKnQ,1,18,IndigoJackal,15.0,55.7,0,True,0.0,
3RrKnQ,1,19,IndigoJackal,25.0,63.3,0,True,0.0,
3RrKnQ,1,20,IndigoJackal,3.0,70.5,0,True,0.0,
3RrKnQ,1,21,IndigoJackal,55.0,77.5,0,True,0.0,
3RrKnQ,1,22,IndigoJackal,11.0,83.6,0,True,0.0,
3RrKnQ,1,23,IndigoJackal,67.0,89.0,0,True,0.0,
3RrKnQ,1,24,IndigoJackal,22.0,92.6,0,True,0.0,
3RrKnQ,1,25,IndigoJackal,82.0,95.1,0,True,0.0,
3RrKnQ,1,26,IndigoJackal,62.0,96.7,0,True,0.0,
3RrKnQ,1,27,IndigoJackal,2.0,97.0,0,True,0.0,
3RrKnQ,1,28,IndigoJackal,93.0,96.0,0,True,0.0,
3RrKnQ,1,29,IndigoJackal,16.0,93.9,0,True,0.0,
3RrKnQ,1,30,IndigoJackal,79.0,90.9,0,True,0.0,
3RrKnQ,1,31,IndigoJackal,71.0,87.0,0,True,0.0,
3RrKnQ,1,32,IndigoJackal,54.0,82.9,0,True,0.0,
3RrKnQ,1,33,IndigoJackal,13.0,78.3,0,True,0.0,
3RrKnQ,1,34,IndigoJackal,81.0,73.4,0,True,0.0,
3RrKnQ,1,35,IndigoJackal,88.0,68.3,0,True,0.0,
3RrKnQ,1,36,IndigoJackal,43.0,63.1,0,True,0.0,
3RrKnQ,1,37,IndigoJackal,4.0,57.9,0,True,0.0,
3RrKnQ,1,38,IndigoJackal,83.0,52.9,0,True,0.0,
3RrKnQ,1,39,IndigoJackal,31.0,48.0,0,True,0.0,
3RrKnQ,1,40,IndigoJackal,23.0,43.4,0,True,0.0,
3RrKnQ,1,41,IndigoJackal,12.0,39.0,0,True,0.0,
3RrKnQ,1,42,IndigoJackal,73.0,34.8,1,True,0.0,
3RrKnQ,1,43,IndigoJackal,56.0,31.5,2,True,0.0,
3RrKnQ,1,44,IndigoJackal,37.0,29.1,1,True,0.0,
3RrKnQ,1,45,IndigoJackal,74.0,27.2,0,True,0.0,
3RrKnQ,1,46,IndigoJackal,42.0,25.2,3,True,0.0,
3RrKnQ,1,47,IndigoJackal,29.0,24.2,3,True,0.0,
3RrKnQ,1,48,IndigoJackal,76.0,24.1,0,True,0.0,
3RrKnQ,1,49,IndigoJackal,49.0,23.8,3,True,0.0,
3RrKnQ,1,50,IndigoJackal,86.0,24.2,1,True,0.0,
3RrKnQ,1,51,IndigoJackal,78.0,24.7,3,True,0.001,
3RrKnQ,1,52,IndigoJackal,14.0,25.8,0,True,0.0,
3RrKnQ,1,53,IndigoJackal,91.0,26.8,2,True,0.0,
3RrKnQ,1,54,IndigoJackal,89.0,28.0,1,True,0.0,
3RrKnQ,1,55,IndigoJackal,5.0,29.4,0,True,0.0,
3RrKnQ,1,56,IndigoJackal,41.0,30.5,1,True,0.0,
3RrKnQ,1,57,IndigoJackal,72.0,31.8,0,True,0.0,
3RrKnQ,1,58,IndigoJackal,39.0,33.0,2,True,0.0,
3RrKnQ,1,59,IndigoJackal,34.0,34.6,0,True,0.0,
3RrKnQ,1,60,IndigoJackal,85.0,36.0,0,True,0.0,
3RrKnQ,1,61,IndigoJackal,30.0,37.1,0,True,0.0,
3RrKnQ,1,62,IndigoJackal,50.0,37.9,0,True,0.0,
3RrKnQ,1,63,IndigoJackal,98.0,38.5,0,True,0.0,
3RrKnQ,1,64,IndigoJackal,45.0,38.8,0,True,0.0,
3RrKnQ,1,65,IndigoJackal,68.0,38.6,0,True,0.0,
3RrKnQ,1,66,IndigoJackal,20.0,38.2,0,True,0.0,
3RrKnQ,1,67,IndigoJackal,19.0,37.4,0,True,0.001,
3RrKnQ,1,68,IndigoJackal,35.0,36.3,0,True,0.0,
3RrKnQ,1,69,IndigoJackal,96.0,35.0,0,True,0.0,
3RrKnQ,1,70,IndigoJackal,10.0,33.5,0,True,0.0,
3RrKnQ,1,71,IndigoJackal,66.0,31.9,0,True,0.0,
3RrKnQ,1,72,IndigoJackal,6.0,30.2,0,True,0.0,
3RrKnQ,1,73,IndigoJackal,8.0,28.3,0,True,0.0,
3RrKnQ,1,74,IndigoJackal,1.0,26.4,0,True,0.001,
3RrKnQ,1,75,IndigoJackal,77.0,24.4,2,True,0.0,
3RrKnQ,1,76,IndigoJackal,9.0,22.6,0,True,0.0,
3RrKnQ,1,77,IndigoJackal,53.0,20.9,1,True,0.0,
3RrKnQ,1,78,IndigoJackal,97.0,19.3,6,True,0.0,
3RrKnQ,1,79,IndigoJackal,63.0,18.4,2,True,0.0,
