competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
35gvEP,1,1,WiseGoose,30.0,150.0,0,True,0.0,
35gvEP,1,2,WiseGoose,80.0,150.0,0,True,0.0,
35gvEP,1,3,WiseGoose,40.0,150.0,0,True,0.0,
35gvEP,1,4,WiseGoose,90.0,150.0,0,True,0.0,
35gvEP,1,5,WiseGoose,89.7,150.0,0,True,0.0,
35gvEP,1,6,WiseGoose,89.4,150.0,0,True,0.0,
35gvEP,1,7,WiseGoose,89.1,150.0,0,True,0.0,
35gvEP,1,8,WiseGoose,88.8,150.0,0,True,0.0,
35gvEP,1,9,WiseGoose,88.4,150.0,0,True,0.0,
35gvEP,1,10,WiseGoose,88.1,150.0,0,True,0.0,
35gvEP,1,11,WiseGoose,87.8,150.0,0,True,0.0,
35gvEP,1,12,WiseGoose,87.5,150.0,0,True,0.0,
35gvEP,1,13,WiseGoose,87.2,150.0,0,True,0.0,
35gvEP,1,14,WiseGoose,86.8,150.0,0,True,0.0,
35gvEP,1,15,WiseGoose,86.5,150.0,0,True,0.0,
35gvEP,1,16,WiseGoose,86.2,150.0,0,True,0.0,
35gvEP,1,17,WiseGoose,85.8,150.0,0,True,0.0,
35gvEP,1,18,WiseGoose,85.5,150.0,0,True,0.0,
35gvEP,1,19,WiseGoose,85.1,150.0,0,True,0.0,
35gvEP,1,20,WiseGoose,84.8,150.0,0,True,0.0,
35gvEP,1,21,WiseGoose,84.4,150.0,0,True,0.0,
35gvEP,1,22,WiseGoose,84.1,150.0,0,True,0.0,
35gvEP,1,23,WiseGoose,83.7,150.0,0,True,0.0,
35gvEP,1,24,WiseGoose,83.4,150.0,0,True,0.0,
35gvEP,1,25,WiseGoose,83.0,150.0,0,True,0.0,
35gvEP,1,26,WiseGoose,82.6,150.0,0,True,0.0,
35gvEP,1,27,WiseGoose,82.3,150.0,0,True,0.0,
35gvEP,1,28,WiseGoose,81.9,150.0,0,True,0.0,
35gvEP,1,29,WiseGoose,81.5,150.0,0,True,0.0,
35gvEP,1,30,WiseGoose,81.1,150.0,0,True,0.0,
35gvEP,1,31,WiseGoose,80.8,150.0,0,True,0.0,
35gvEP,1,32,WiseGoose,80.4,150.0,0,True,0.0,
35gvEP,1,33,WiseGoose,80.0,150.0,0,True,0.0,
35gvEP,1,34,WiseGoose,79.6,150.0,0,True,0.0,
