competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3eieuu,1,1,DidacticFlounder,43.5,35.0,0,True,0.0,
3eieuu,1,2,DidacticFlounder,41.3,28.0,1,True,0.0,
3eieuu,1,3,DidacticFlounder,39.3,26.6,1,True,0.0,
3eieuu,1,4,DidacticFlounder,37.3,28.8,1,True,0.0,
3eieuu,1,5,DidacticFlounder,29.6,32.6,0,True,0.0,
3eieuu,1,6,DidacticFlounder,28.1,33.7,0,True,0.0,
3eieuu,1,7,DidacticFlounder,26.7,33.7,0,True,0.0,
3eieuu,1,8,DidacticFlounder,25.4,32.2,0,True,0.0,
3eieuu,1,9,DidacticFlounder,24.1,29.7,2,True,0.0,
3eieuu,1,10,DidacticFlounder,32.4,30.6,1,True,0.0,
3eieuu,1,11,DidacticFlounder,30.8,32.6,0,True,0.0,
3eieuu,1,12,DidacticFlounder,29.2,33.8,0,True,0.0,
3eieuu,1,13,DidacticFlounder,27.8,33.6,0,True,0.0,
3eieuu,1,14,DidacticFlounder,26.4,32.5,0,True,0.0,
3eieuu,1,15,DidacticFlounder,32.6,30.6,1,True,0.0,
3eieuu,1,16,DidacticFlounder,31.0,29.4,0,True,0.0,
3eieuu,1,17,DidacticFlounder,29.5,27.6,1,True,0.0,
3eieuu,1,18,DidacticFlounder,28.0,26.5,1,True,0.0,
3eieuu,1,19,DidacticFlounder,26.6,26.0,1,True,0.0,
3eieuu,1,20,DidacticFlounder,28.0,25.8,1,True,0.0,
3eieuu,1,21,DidacticFlounder,26.6,26.2,0,True,0.0,
3eieuu,1,22,DidacticFlounder,25.3,26.1,1,True,0.0,
3eieuu,1,23,DidacticFlounder,24.0,26.5,0,True,0.0,
3eieuu,1,24,DidacticFlounder,22.8,26.2,2,True,0.0,
3eieuu,1,25,DidacticFlounder,26.2,27.0,0,True,0.0,
3eieuu,1,26,DidacticFlounder,24.9,27.4,0,True,0.0,
3eieuu,1,27,DidacticFlounder,23.6,27.5,1,True,0.0,
3eieuu,1,28,DidacticFlounder,22.4,27.8,0,True,0.0,
3eieuu,1,29,DidacticFlounder,21.3,27.7,0,True,0.0,
3eieuu,1,30,DidacticFlounder,27.5,27.4,1,True,0.0,
3eieuu,1,31,DidacticFlounder,26.1,27.2,0,True,0.0,
3eieuu,1,32,DidacticFlounder,24.8,26.9,0,True,0.0,
3eieuu,1,33,DidacticFlounder,23.6,26.3,1,True,0.0,
3eieuu,1,34,DidacticFlounder,22.4,26.1,1,True,0.0,
3eieuu,1,35,DidacticFlounder,26.8,25.9,1,True,0.0,
3eieuu,1,36,DidacticFlounder,25.4,26.0,1,True,0.0,
3eieuu,1,37,DidacticFlounder,24.2,26.4,1,True,0.0,
3eieuu,1,38,DidacticFlounder,23.0,26.8,0,True,0.0,
3eieuu,1,39,DidacticFlounder,21.8,27.2,0,True,0.0,
3eieuu,1,40,DidacticFlounder,26.5,27.3,1,True,0.0,
3eieuu,1,41,DidacticFlounder,25.1,27.7,1,True,0.0,
3eieuu,1,42,DidacticFlounder,23.9,28.2,0,True,0.0,
3eieuu,1,43,DidacticFlounder,22.7,28.5,1,True,0.0,
3eieuu,1,44,DidacticFlounder,21.6,29.0,0,True,0.0,
3eieuu,1,45,DidacticFlounder,28.1,29.3,0,True,0.0,
3eieuu,1,46,DidacticFlounder,26.7,29.4,2,True,0.0,
3eieuu,1,47,DidacticFlounder,25.4,30.1,1,True,0.0,
3eieuu,1,48,DidacticFlounder,24.1,31.0,0,True,0.0,
3eieuu,1,49,DidacticFlounder,22.9,31.8,1,True,0.0,
3eieuu,1,50,DidacticFlounder,30.3,32.6,0,True,0.0,
3eieuu,1,51,DidacticFlounder,28.8,33.3,1,True,0.0,
3eieuu,1,52,DidacticFlounder,27.4,34.1,0,True,0.0,
3eieuu,1,53,DidacticFlounder,26.0,34.6,0,True,0.0,
3eieuu,1,54,DidacticFlounder,24.7,34.8,0,True,0.0,
3eieuu,1,55,DidacticFlounder,33.9,34.7,0,True,0.0,
3eieuu,1,56,DidacticFlounder,32.2,34.3,0,True,0.0,
3eieuu,1,57,DidacticFlounder,30.6,33.8,0,True,0.0,
3eieuu,1,58,DidacticFlounder,29.1,33.1,3,True,0.0,
3eieuu,1,59,DidacticFlounder,27.6,33.1,0,True,0.0,
3eieuu,1,60,DidacticFlounder,33.8,32.9,0,True,0.0,
3eieuu,1,61,DidacticFlounder,32.1,32.5,0,True,0.0,
3eieuu,1,62,DidacticFlounder,30.5,31.8,0,True,0.0,
3eieuu,1,63,DidacticFlounder,29.0,30.9,2,True,0.0,
3eieuu,1,64,DidacticFlounder,27.5,30.4,1,True,0.0,
3eieuu,1,65,DidacticFlounder,31.7,29.8,1,True,0.0,
3eieuu,1,66,DidacticFlounder,30.1,29.2,1,True,0.0,
3eieuu,1,67,DidacticFlounder,28.6,28.6,2,True,0.0,
3eieuu,1,68,DidacticFlounder,27.2,28.2,1,True,0.0,
3eieuu,1,69,DidacticFlounder,25.8,27.8,0,True,0.0,
3eieuu,1,70,DidacticFlounder,28.7,27.2,0,True,0.0,
3eieuu,1,71,DidacticFlounder,27.3,26.4,1,True,0.0,
3eieuu,1,72,DidacticFlounder,25.9,25.7,0,True,0.0,
3eieuu,1,73,DidacticFlounder,24.6,24.8,4,True,0.0,
3eieuu,1,74,DidacticFlounder,23.4,24.3,3,True,0.0,
3eieuu,1,75,DidacticFlounder,25.7,24.1,1,True,0.0,
3eieuu,1,76,DidacticFlounder,24.4,23.8,1,True,0.0,
3eieuu,1,77,DidacticFlounder,23.2,23.5,0,True,0.0,
3eieuu,1,78,DidacticFlounder,22.0,23.0,5,False,0.0,
3eieuu,1,79,DidacticFlounder,20.9,23.0,1,False,0.0,
3eieuu,1,80,DidacticFlounder,20.0,23.0,5,False,0.0,
3eieuu,1,81,DidacticFlounder,20.0,23.4,5,False,0.0,
3eieuu,1,82,DidacticFlounder,20.0,24.2,2,False,0.0,
3eieuu,1,83,DidacticFlounder,20.0,25.2,2,False,0.0,
3eieuu,1,84,DidacticFlounder,20.0,26.2,6,False,0.0,
3eieuu,1,85,DidacticFlounder,20.0,27.8,1,False,0.0,
3eieuu,1,86,DidacticFlounder,20.0,29.5,1,False,0.0,
3eieuu,1,87,DidacticFlounder,20.0,31.1,1,False,0.0,
3eieuu,1,88,DidacticFlounder,20.0,32.7,1,False,0.0,
3eieuu,1,89,DidacticFlounder,20.0,34.3,0,False,0.0,
3eieuu,1,90,DidacticFlounder,20.0,35.8,0,False,0.0,
3eieuu,1,91,DidacticFlounder,20.0,37.2,0,False,0.0,
3eieuu,1,92,DidacticFlounder,20.0,38.4,0,False,0.0,
3eieuu,1,93,DidacticFlounder,20.0,39.5,0,False,0.0,
3eieuu,1,94,DidacticFlounder,20.0,40.5,0,False,0.0,
3eieuu,1,95,DidacticFlounder,20.0,41.4,0,False,0.0,
