competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
3UDMAq,1,1,FearlessFinch,30.5,45.0,0,True,0.098,
3UDMAq,1,2,FearlessFinch,81.8,23.6,0,True,0.221,
3UDMAq,1,3,FearlessFinch,76.5,9.6,0,True,0.232,
3UDMAq,1,4,FearlessFinch,21.0,19.9,0,True,0.205,
3UDMAq,1,5,FearlessFinch,64.4,9.6,3,True,0.232,
3UDMAq,1,6,FearlessFinch,52.1,34.0,0,True,0.159,
3UDMAq,1,7,FearlessFinch,54.6,25.4,0,True,0.195,
3UDMAq,1,8,FearlessFinch,4.6,25.4,0,True,0.187,
3UDMAq,1,9,FearlessFinch,55.3,6.5,0,True,0.24,
3UDMAq,1,10,FearlessFinch,92.4,25.4,0,True,0.182,
3UDMAq,1,11,FearlessFinch,19.8,24.2,0,True,0.188,
3UDMAq,1,12,FearlessFinch,15.0,18.7,0,True,0.197,
3UDMAq,1,13,FearlessFinch,3.2,14.5,0,True,0.223,
3UDMAq,1,14,FearlessFinch,13.6,6.5,0,True,0.24,
3UDMAq,1,15,FearlessFinch,53.0,13.2,0,True,0.228,
3UDMAq,1,16,FearlessFinch,6.9,32.1,0,True,0.165,
3UDMAq,1,17,FearlessFinch,49.7,7.1,2,True,0.242,
3UDMAq,1,18,FearlessFinch,61.4,35.2,0,True,0.15,
3UDMAq,1,19,FearlessFinch,46.2,32.1,0,True,0.215,
3UDMAq,1,20,FearlessFinch,27.1,35.2,0,True,0.168,
3UDMAq,1,21,FearlessFinch,25.1,26.0,0,True,0.191,
3UDMAq,1,22,FearlessFinch,4.3,24.2,0,True,0.189,
3UDMAq,1,23,FearlessFinch,12.0,6.5,1,True,0.248,
3UDMAq,1,24,FearlessFinch,88.4,11.4,1,True,0.237,
3UDMAq,1,25,FearlessFinch,98.3,32.1,0,True,0.165,
3UDMAq,1,26,FearlessFinch,42.4,25.4,0,True,0.186,
3UDMAq,1,27,FearlessFinch,47.8,32.1,0,True,0.167,
3UDMAq,1,28,FearlessFinch,86.2,32.1,0,True,0.158,
3UDMAq,1,29,FearlessFinch,90.2,23.6,0,True,0.19,
3UDMAq,1,30,FearlessFinch,49.3,23.6,0,True,0.186,
3UDMAq,1,31,FearlessFinch,56.4,32.1,0,True,0.163,
3UDMAq,1,32,FearlessFinch,0.6,25.4,0,True,0.18,
3UDMAq,1,33,FearlessFinch,65.3,6.5,0,True,0.253,
3UDMAq,1,34,FearlessFinch,87.8,25.4,0,True,0.181,
3UDMAq,1,35,FearlessFinch,28.2,23.6,0,True,0.193,
3UDMAq,1,36,FearlessFinch,98.2,25.4,0,True,0.186,
