,coeff,intercept,R2,MSE
DJzqdu,"[-0.008143674469324158, 0.00011584506817295608]",1.2144172894092695,0.27384378019690336,0.19316823622561702
33XcLS,"[-0.00981133704411969, 3.5012775092667535e-05]",1.4697816070333554,0.24764177866148385,0.3571865797297885
3t3R65,"[-0.006215404398018458, 0.00015810602418742757]",0.924608880664393,0.18964212628871702,0.19885986924627322
42zRuo,"[-0.0004744683618889579, 0.00017690058571849775]",0.06150276360228105,0.027108722260132057,0.0037794783068510617
7e3WdS,"[-0.006733462509930956, -0.00022618473724973553]",1.0260222846564673,0.28457019877597634,0.055013689994922524
3A3gcX,"[-0.0176365004408137, 0.010777381411144073]",0.5230199763812156,0.009128521852073135,0.36868246871780247
464dG3,"[-0.017057431818205158, 0.010372176903623027]",0.5207221428905638,0.00850989837651539,0.3716683831955159
4QuPXN,"[-0.01218648614230348, 0.004853901563042605]",0.5134418754226684,0.0076430294002988175,0.3436212154063747
8aRSZi,"[-0.012526619087924304, -0.000900804929916841]",0.48883931062015085,0.04086929274910711,0.18233050766571793
3GcNhT,"[0.019821352234998167, -0.034369719517753305]",1.7357461857007674,0.12257479828899431,1.0165071953462717
HTmLPU,"[0.03766986250413611, -0.004381795957234303]",-0.1711298293869018,0.0663657292750226,1.0878706522487438
TU2ymE,"[0.018347736766438753, -0.031695521306638545]",1.5179880323358157,0.10685616913374063,0.8914846911602888
3rwmq3,"[-0.005398038958739911, 0.0024108747615200904]",0.16783155090138877,0.024464520876420037,0.09281385025490733
9vB7ZN,"[-0.003702006350274447, 0.004398856637261323]",0.7302118724174603,0.003847649945250553,0.9691883388590915
GUfEPY,"[-0.043079421858044156, 0.026034810961383686]",1.427653066390977,0.013210126728668614,1.7682969709630407
VeJNuD,"[-0.04266841846673539, -0.3031912318291066]",4.7116582794061275,0.013190084130930813,1.7689249726285925
3FXLuz,"[-0.0026104964101288535, 1.7910597173516657e-05]",0.1330300917102868,0.036839453367871755,0.005850227528638081
4Njyyy,"[-0.00022064406570811894, 4.807504748170155e-05]",0.013972375885896978,0.007022459053226848,0.002379174188108469
NKy52J,"[-0.013175567213838644, -0.0003050193602070702]",0.699307644109525,0.10986530710121889,0.04427991942384152
3L35Uv,"[-0.024159854647250584, 0.005636313289131505]",1.1234900029283958,0.028351641999365906,1.2648284712558
3mewoV,"[-0.016263620615999456, 0.005052531260513626]",1.164288266126618,0.010334843524108184,0.8236689265763892
4Qnwod,"[-0.02688938381772598, 0.007070327388953044]",1.420158640012755,0.028557028749507607,0.80765597655803
GtcaQG,"[-0.01617806556468436, 0.007861928532444008]",0.9484520033355889,0.023270582747016877,1.1844482647789865
3RSEsS,"[0.03241280045726181, 0.03606531952182562]",-2.4393081604009836,0.2157487001214472,1.1832783612567608
7WpjFj,"[-0.005543920224249244, -5.810972882109531e-05]",0.23612104520848698,0.048196680248134394,0.015750593623785027
dD2TeP,"[-0.009938320008238072, -0.00012080041229577186]",0.5139754391921013,0.08443685277661772,0.03379435132716226
dEL8hW,"[0.005548231976975305, -0.02040934815373091]",2.045076509014234,0.24037380733862224,1.0001612492516967
UmMCdc,"[-0.021414205354337475, 0.005060566863148336]",0.8193664410331591,0.020138214819242717,0.4811001332168834
VcXSg2,"[-0.03749030199283087, 0.006426957106547224]",1.4559528763449356,0.03774530098593465,0.6601292017934178
3492ok,"[-0.021314395629646272, 0.003837819931801275]",0.6295442038948246,0.0469484450966311,0.21225998259010748
4NarHm,"[-0.009610611630492443, 0.0031416044213712093]",0.39805866399285605,0.006278431021294439,0.2409877257467123
3duRcX,"[0.05638196639077643, -0.014496166913332505]",-0.28602227671413544,0.2556043350282684,1.0820535386029093
3eieuu,"[-0.03426124302667327, 0.006433279403464937]",1.5869617054243248,0.09256018524063203,1.096036443434511
3jygWZ,"[-0.04305180815372549, 0.010400126277432035]",1.6143248257953453,0.09239391851241363,1.4009324536646421
3EqV5n,"[-0.0018563373337906579, 0.0007634593825034164]",0.06218033751234512,0.0013827631027076848,0.03294549111037463
3HY78q,"[-0.007433006652742837, 0.004290511621018034]",0.23578471634438666,0.00732553878197828,0.14940588458576493
Xm75kk,"[-0.012818415277267077, 0.009281121119224965]",0.19831509098002237,0.033201444968817495,0.09791108313093602
3JiYzB,"[-0.03524332986501343, 0.006749317050027405]",1.6129259140114092,0.18919121563388608,0.3992219752022654
3kf5FR,"[-0.004357546273568084, -1.2288383600572053e-05]",0.2177965075699381,0.04967253009079986,0.028897519691900162
X533zD,"[-0.015388419237071564, -0.002268760689848987]",1.4588073378913582,0.02949113099796752,0.8643910612237098
3cuFyA,"[-0.013864887637616953, 0.013520663949032065]",0.2973779827744229,0.0629910268392343,0.33410737806162893
3rv5MV,"[-0.00567727930857717, 0.0040670924145536575]",0.10854998232940109,0.012683655478400335,0.06548162394709094
bSh3kd,"[-0.023081309591927186, 0.013413868570808625]",0.48399289063492756,0.042403796331715204,0.17998900678856586
3Z9AXW,"[-0.026188598166431137, 0.0028663242635106035]",1.0563459872960184,0.04636058560524314,0.4846512896966067
3rxyBy,"[-0.012444876774820155, -0.001695949286166532]",1.0704704405068692,0.08115385133090536,0.6323416498987329
fw6wpA,"[-0.05491914067414261, 0.04031631070361199]",0.9412050865581346,0.13044633099258596,0.476342578128811
