competition_id,selling_season,selling_period,competitor_id,price_competitor,price,demand,competitor_has_capacity,calculation_duration,errors
34KdGK,1,1,SuperGoshawk,24.5,54.8,0,True,0.014,
34KdGK,1,2,SuperGoshawk,27.0,54.8,0,True,0.013,
34KdGK,1,3,SuperGoshawk,29.7,54.8,0,True,0.012,
34KdGK,1,4,SuperGoshawk,32.7,54.8,0,True,0.01,
34KdGK,1,5,SuperGoshawk,35.9,54.8,0,True,0.008,
34KdGK,1,6,SuperGoshawk,39.5,27.4,5,True,0.011,
34KdGK,1,7,SuperGoshawk,27.4,27.4,0,True,0.007,
34KdGK,1,8,SuperGoshawk,28.4,27.4,1,True,0.011,
34KdGK,1,9,SuperGoshawk,27.4,27.4,0,True,0.014,
34KdGK,1,10,SuperGoshawk,28.4,27.4,2,True,0.009,
34KdGK,1,11,SuperGoshawk,27.4,35.6,0,True,0.018,
34KdGK,1,12,SuperGoshawk,30.2,35.6,0,True,0.014,
34KdGK,1,13,SuperGoshawk,33.2,35.6,0,True,0.012,
34KdGK,1,14,SuperGoshawk,35.6,35.6,0,True,0.012,
34KdGK,1,15,SuperGoshawk,35.6,35.6,0,True,0.027,
34KdGK,1,16,SuperGoshawk,35.6,40.7,0,True,0.009,
34KdGK,1,17,SuperGoshawk,39.2,40.7,0,True,0.01,
34KdGK,1,18,SuperGoshawk,40.7,40.7,0,True,0.018,
34KdGK,1,19,SuperGoshawk,40.7,40.7,0,True,0.015,
34KdGK,1,20,SuperGoshawk,40.7,40.7,0,True,0.013,
34KdGK,1,21,SuperGoshawk,40.7,32.6,1,True,0.012,
34KdGK,1,22,SuperGoshawk,32.6,32.6,0,True,0.01,
34KdGK,1,23,SuperGoshawk,33.6,32.6,1,True,0.01,
34KdGK,1,24,SuperGoshawk,32.6,32.6,0,True,0.015,
34KdGK,1,25,SuperGoshawk,32.6,32.6,0,True,0.031,
34KdGK,1,26,SuperGoshawk,32.6,25.1,5,True,0.016,
34KdGK,1,27,SuperGoshawk,25.1,25.1,0,True,0.012,
34KdGK,1,28,SuperGoshawk,26.1,25.1,1,True,0.008,
34KdGK,1,29,SuperGoshawk,27.1,25.1,3,True,0.009,
34KdGK,1,30,SuperGoshawk,25.1,25.1,1,True,0.014,
34KdGK,1,31,SuperGoshawk,26.1,31.3,0,True,0.011,
34KdGK,1,32,SuperGoshawk,28.7,31.3,0,True,0.011,
34KdGK,1,33,SuperGoshawk,31.3,31.3,0,True,0.012,
34KdGK,1,34,SuperGoshawk,32.3,31.3,2,True,0.012,
34KdGK,1,35,SuperGoshawk,31.3,31.3,1,True,0.013,
34KdGK,1,36,SuperGoshawk,32.3,36.0,0,True,0.012,
34KdGK,1,37,SuperGoshawk,35.6,36.0,0,True,0.012,
34KdGK,1,38,SuperGoshawk,36.0,36.0,0,True,0.016,
34KdGK,1,39,SuperGoshawk,36.0,36.0,0,True,0.012,
34KdGK,1,40,SuperGoshawk,36.0,36.0,0,True,0.009,
34KdGK,1,41,SuperGoshawk,36.0,34.5,0,True,0.01,
34KdGK,1,42,SuperGoshawk,34.5,34.5,0,True,0.012,
34KdGK,1,43,SuperGoshawk,34.5,34.5,0,True,0.012,
34KdGK,1,44,SuperGoshawk,34.5,34.5,0,True,0.014,
34KdGK,1,45,SuperGoshawk,34.5,34.5,0,True,0.035,
34KdGK,1,46,SuperGoshawk,34.5,27.4,4,True,0.015,
34KdGK,1,47,SuperGoshawk,27.4,27.4,2,True,0.02,
34KdGK,1,48,SuperGoshawk,28.4,27.4,2,True,0.028,
34KdGK,1,49,SuperGoshawk,29.4,27.4,2,True,0.012,
34KdGK,1,50,SuperGoshawk,30.4,27.4,3,True,0.015,
34KdGK,1,51,SuperGoshawk,27.4,29.9,0,True,0.015,
34KdGK,1,52,SuperGoshawk,29.9,29.9,2,True,0.011,
34KdGK,1,53,SuperGoshawk,30.9,29.9,2,True,0.011,
34KdGK,1,54,SuperGoshawk,29.9,29.9,3,True,0.027,
34KdGK,1,55,SuperGoshawk,30.9,29.9,0,True,0.024,
34KdGK,1,56,SuperGoshawk,29.9,33.8,0,True,0.013,
34KdGK,1,57,SuperGoshawk,32.9,33.8,0,True,0.013,
34KdGK,1,58,SuperGoshawk,33.8,33.8,0,True,0.012,
34KdGK,1,59,SuperGoshawk,34.8,33.8,0,True,0.01,
34KdGK,1,60,SuperGoshawk,33.8,33.8,0,True,0.013,
34KdGK,1,61,SuperGoshawk,33.8,34.6,0,True,0.024,
34KdGK,1,62,SuperGoshawk,34.6,34.6,0,True,0.014,
34KdGK,1,63,SuperGoshawk,34.6,34.6,0,True,0.033,
34KdGK,1,64,SuperGoshawk,34.6,34.6,0,True,0.055,
34KdGK,1,65,SuperGoshawk,34.6,34.6,0,True,0.01,
34KdGK,1,66,SuperGoshawk,34.6,31.7,4,True,0.012,
34KdGK,1,67,SuperGoshawk,31.7,31.7,2,True,0.025,
34KdGK,1,68,SuperGoshawk,32.7,31.7,2,True,0.014,
34KdGK,1,69,SuperGoshawk,33.7,31.7,4,True,0.023,
34KdGK,1,70,SuperGoshawk,31.7,31.7,1,True,0.01,
34KdGK,1,71,SuperGoshawk,32.7,34.1,0,True,0.014,
34KdGK,1,72,SuperGoshawk,34.1,34.1,0,True,0.027,
34KdGK,1,73,SuperGoshawk,34.1,34.1,0,True,0.012,
34KdGK,1,74,SuperGoshawk,34.1,34.1,0,True,0.012,
34KdGK,1,75,SuperGoshawk,34.1,34.1,0,True,0.015,
34KdGK,1,76,SuperGoshawk,34.1,33.5,0,True,0.011,
34KdGK,1,77,SuperGoshawk,33.5,33.5,0,True,0.013,
34KdGK,1,78,SuperGoshawk,33.5,33.5,1,True,0.041,
34KdGK,1,79,SuperGoshawk,33.5,33.5,0,True,0.019,
34KdGK,1,80,SuperGoshawk,33.5,33.5,1,True,0.014,
34KdGK,1,81,SuperGoshawk,33.5,31.3,1,True,0.023,
34KdGK,1,82,SuperGoshawk,31.3,31.3,3,True,0.019,
34KdGK,1,83,SuperGoshawk,32.3,31.3,2,True,0.018,
34KdGK,1,84,SuperGoshawk,31.3,31.3,2,True,0.021,
34KdGK,1,85,SuperGoshawk,32.3,31.3,3,True,0.012,
34KdGK,1,86,SuperGoshawk,31.3,32.3,0,True,0.022,
34KdGK,1,87,SuperGoshawk,32.3,32.3,2,True,0.012,
34KdGK,1,88,SuperGoshawk,32.3,32.3,0,True,0.01,
34KdGK,1,89,SuperGoshawk,33.3,32.3,0,True,0.034,
34KdGK,1,90,SuperGoshawk,32.3,32.3,1,True,0.015,
34KdGK,1,91,SuperGoshawk,33.3,32.3,3,True,0.024,
34KdGK,1,92,SuperGoshawk,32.3,32.3,1,True,0.015,
34KdGK,1,93,SuperGoshawk,32.3,32.3,0,True,0.013,
34KdGK,1,94,SuperGoshawk,33.3,32.3,0,True,0.02,
34KdGK,1,95,SuperGoshawk,32.3,32.3,2,True,0.011,
34KdGK,1,96,SuperGoshawk,33.3,33.1,0,True,0.017,
34KdGK,1,97,SuperGoshawk,33.1,33.1,0,True,0.016,
34KdGK,1,98,SuperGoshawk,34.1,33.1,0,True,0.022,
34KdGK,1,99,SuperGoshawk,33.1,33.1,1,True,0.03,
34KdGK,1,100,SuperGoshawk,33.1,33.1,1,True,0.039,
34KdGK,2,1,SuperGoshawk,47.4,45.2,0,True,0.008,
34KdGK,2,2,SuperGoshawk,45.2,45.2,0,True,0.009,
34KdGK,2,3,SuperGoshawk,45.2,45.2,0,True,0.014,
34KdGK,2,4,SuperGoshawk,45.2,45.2,0,True,0.015,
34KdGK,2,5,SuperGoshawk,45.2,45.2,0,True,0.008,
34KdGK,2,6,SuperGoshawk,45.2,22.6,4,True,0.011,
34KdGK,2,7,SuperGoshawk,22.6,22.6,0,True,0.009,
34KdGK,2,8,SuperGoshawk,23.6,22.6,1,True,0.009,
34KdGK,2,9,SuperGoshawk,22.6,22.6,2,True,0.007,
34KdGK,2,10,SuperGoshawk,22.6,22.6,1,True,0.008,
34KdGK,2,11,SuperGoshawk,22.6,29.4,0,True,0.013,
34KdGK,2,12,SuperGoshawk,24.9,29.4,0,True,0.011,
34KdGK,2,13,SuperGoshawk,27.4,29.4,0,True,0.007,
34KdGK,2,14,SuperGoshawk,29.4,29.4,0,True,0.01,
34KdGK,2,15,SuperGoshawk,30.4,29.4,1,True,0.022,
34KdGK,2,16,SuperGoshawk,29.4,33.6,0,True,0.014,
34KdGK,2,17,SuperGoshawk,32.3,33.6,0,True,0.029,
34KdGK,2,18,SuperGoshawk,33.6,33.6,0,True,0.018,
34KdGK,2,19,SuperGoshawk,33.6,33.6,0,True,0.01,
34KdGK,2,20,SuperGoshawk,34.6,33.6,0,True,0.008,
34KdGK,2,21,SuperGoshawk,33.6,30.2,3,True,0.011,
34KdGK,2,22,SuperGoshawk,30.2,30.2,1,True,0.01,
34KdGK,2,23,SuperGoshawk,31.2,30.2,1,True,0.016,
34KdGK,2,24,SuperGoshawk,30.2,30.2,2,True,0.011,
