file,rows,competitions,revenue_sum,revenue_mean,revenue_mean_per_comp,demand_mean,price_mean,price_median,pc_mean,gap_mean,capFalse_share,capFalse_rev_mean,capTrue_rev_mean
duopoly_competition_details (5).csv,20000,2,1026582.7,51.329135,51.329135,0.7899,74.11085,75.9,69.55021500000001,4.560635,0.18215,62.737057370299205,48.78838417802776
duopoly_competition_details (17).csv,50000,5,1524553.1,30.491062000000003,30.491062,0.78538,51.49569,48.0,43.584242,7.911447999999999,0.18748,50.304629827181564,25.919300447988974
duopoly_competition_details (20).csv,60000,6,1772254.5999999999,29.537576666666663,29.53757666666667,0.78285,52.76536000000001,49.8,42.28479166666666,10.480568333333332,0.2553666666666667,43.61183265892181,24.710911410537626
duopoly_competition_details (15).csv,30000,3,843438.7,28.11462333333333,28.114623333333338,0.7856666666666666,48.2145,45.3,45.65107,2.56343,0.055766666666666666,59.53532576210401,26.258908461891483
duopoly_competition_details (9).csv,40000,4,1108597.1,27.7149275,27.7149275,0.750775,51.13439,48.2,49.780505,1.3538850000000002,0.2523,38.67213634562029,24.017583924033705
duopoly_competition_details (16).csv,60000,6,1452916.2,24.21527,24.21527,0.7712166666666667,41.14633,39.5,46.94116833333334,-5.794838333333332,0.2453,36.09816551161843,20.352974691930566
duopoly_competition_details (10).csv,80000,8,1566636.6,19.582957500000003,19.5829575,0.7563875,35.80785375,30.7,41.95016,-6.142306250000001,0.1504,28.914918550531915,17.9309719279661
duopoly_competition_details (13).csv,20000,2,381265.5,19.063275,19.063274999999997,0.6003,34.39512,22.9,37.925909999999995,-3.530789999999999,0.0014,7.142857142857143,19.079986981774486
duopoly_competition_details (14).csv,40000,4,751077.0,18.776925,18.776925,0.765725,37.23656,31.9,49.361185,-12.124625,0.02345,54.359488272921105,17.922477087706724
duopoly_competition_details (18).csv,60000,6,1085347.8,18.08913,18.089129999999997,0.77615,35.18205,29.9,39.94724166666666,-4.7651916666666665,0.06655,30.47357876283496,17.20618494116807
duopoly_competition_details (6).csv,40000,4,550144.3,13.753607500000001,13.753607499999998,0.7637,24.269079999999995,17.9,23.435875,0.8332050000000003,0.2792,22.797448065902582,10.250499445061042
duopoly_competition_details (7).csv,20000,2,170683.1,8.534155,8.534155,0.59925,17.950255,14.1,36.97825,-19.027995,0.0,,8.534155
duopoly_competition_details (11).csv,80000,8,350115.10000000003,4.37643875,4.37643875,0.5419,11.54820625,5.0,50.32911375,-38.7809075,0.0,,4.37643875
duopoly_competition_details (8).csv,40000,4,138440.2,3.461005,3.4610049999999997,0.472025,11.791080000000001,5.0,6.5290325,5.2620475,0.054975,8.049113233287859,3.194100685167059
duopoly_competition_details (19).csv,60000,6,196584.49999999997,3.276408333333333,3.276408333333333,0.5083833333333333,8.611036666666665,5.0,22.00977833333334,-13.398741666666666,0.0,,3.276408333333333
duopoly_competition_details (12).csv,30000,3,45200.100000000006,1.5066700000000002,1.5066700000000004,0.23746666666666666,7.767026666666666,5.0,17.798566666666666,-10.031539999999998,0.0,,1.5066700000000002
